,State,Senator,Official Twitter,Staff Twitter,Campaign Twitter,Twitter_Page
1,Alabama,"Shelby, Richard",SenShelby,,,https://twitter.com/SenShelby
2,Alabama,"Jomes, Doug",SenDougJones,,,https://twitter.com/SenDougJones
3,Alaska,"Murkowski, Lisa",lisamurkowski,,LisaForSenate,https://twitter.com/lisamurkowski
4,Alaska,"Sullivan, Dan",SenDanSullivan,,DanSullivan2014,https://twitter.com/SenDanSullivan
5,Arizona,"Kyl, Jon",SenJonKyl,,,https://twitter.com/SenJonKyl
6,Arizona,"Flake, Jeff",JeffFlake,,FlakeforSenate,https://twitter.com/JeffFlake
7,Arkansas,"Cotton, Tom",SenTomCotton,,TomCottonAR,https://twitter.com/SenTomCotton
8,Arkansas,"Boozman, John",JohnBoozman,,Boozman4AR,https://twitter.com/JohnBoozman
9,California,"Feinstein, Dianne",SenFeinstein,,DianneFeinstein,https://twitter.com/SenFeinstein
10,California,"Harris, Kamala",SenKamalaHarris,,KamalaHarris,https://twitter.com/SenKamalaHarris
11,Colorado,"Bennet, Michael",SenatorBennet,,BennetForCO,https://twitter.com/SenatorBennet
12,Colorado,"Gardner, Cory",SenCoryGardner,,CoryGardner,https://twitter.com/SenCoryGardner
13,Connecticut,"Murphy, Christopher",ChrisMurphyCT,,,https://twitter.com/ChrisMurphyCT
14,Connecticut,"Blumenthal, Richard",SenBlumenthal,,DickBlumenthal,https://twitter.com/SenBlumenthal
15,Delaware,"Carper, Tom",SenatorCarper,,TomCarperforDE,https://twitter.com/SenatorCarper
16,Delaware,"Coons, Chris",ChrisCoons,SenCoonsOffice,ChrisCoonsforDE,https://twitter.com/ChrisCoons
17,Florida,"Nelson, Bill",SenBillNelson,,NelsonForSenate,https://twitter.com/SenBillNelson
18,Florida,"Rubio, Marco",marcorubio,SenRubioPress,TeamMarco,https://twitter.com/marcorubio
19,Georgia,"Perdue, David",SenDavidPerdue,,Perduesenate,https://twitter.com/SenDavidPerdue
20,Georgia,"Isakson, Johnny",SenatorIsakson,,JohnnyIsakson,https://twitter.com/SenatorIsakson
21,Hawaii,"Schatz, Brian",brianschatz,SenBrianSchatz,SchatzforHawaii,https://twitter.com/brianschatz
22,Hawaii,"Hirono, Mazie",maziehirono,,mazieforhawaii,https://twitter.com/maziehirono
23,Idaho,"Crapo, Mike",MikeCrapo,,crapo4senate,https://twitter.com/MikeCrapo
